Suppl. Table 4. Mouse circRNA summary
chr,start,end,strand: coordinates in mm10 annotation
Annotation: NTO: intergenic; CTO: complete transcript overlap; AS: antisense; ITO: incomplete transcript overlap; ncRNA: non-coding RNA; INTRONIC: intronic; CDS,5UTR,3UTR: overlaps coding sequence, 5'UTR or 3'UTR; ANNOTATED: splice sites are annotated; ALT_DONOR, ALT_ACCEPTOR: not annotated splice donor or acceptor site
nExons: number of exons
length: predicted length
rawCounts: raw counts of backsplice-spanning reads in all samples in the same order as the preceding column names
allSHAM,allTAC: detected in all SHAM_mock or all TAC_mock with >=3 reads
rnoCircIndex, hsaCircIndex: index of rat,human homolog, if found
Normalized sample counts are given as backsplice-spanning reads per million uniquely aligned unspliced reads (RPM)


chr	start	end	strand	index	GeneSymbol	Annotation	nExons	length	transcripts	SHAM1_mock	SHAM2_mock	SHAM3_mock	TAC1_mock	TAC2_mock	SHAM1_RNaseR	SHAM2_RNaseR	SHAM3_RNaseR	TAC1_RNaseR	TAC2_RNaseR	rawCounts	allSHAM	allTAC	log2AvgRNaseEnrichment	rnoCircIndex	hsaCircIndex
chr1	13221307	13286025	-	mmuCirc_000043	Ncoa2	CTO:ANNOTATED:CDS:5UTR	3	335	NM_001077695:NM_008678	0.0899572532128458	0.0853335488745	0	0.153835305498745	0.127587434438513	1.24454223198496	0.49787428182367	0.923501459742477	1.98887937983559	0.688135441111304	5;5;0;8;7;38;17;28;50;24	0	1	3.43484872706969	rnoCirc_009280	
chr1	13571803	13576452	-	mmuCirc_000044	Tram1	CTO:ANNOTATED:CDS	3	261	NM_028173	0	0	0	0	0	0.0655022227360508	0.0585734449204318	0.131928779963211	0.23866552558027	0.0286723100463043	0;0;0;0;0;2;2;4;6;1	0	0	2.39428883024217		
chr1	13638231	13650884	-	mmuCirc_000045	Lactb2	CTO:ANNOTATED:CDS	3	470	NM_145381	0	0.0170667097749	0.0185119210755352	0.0384588263746862	0.0729071053934362	0.262008890944203	0.0585734449204318	0.461750729871238	0.437553463563829	0.143361550231522	0;1;1;2;4;8;2;14;11;5	0	0	2.46583030613974		
chr1	14229493	14253102	-	mmuCirc_000046	Eya1	CTO:ANNOTATED:CDS	4	494	NM_001252192:NM_010164	0	0.0170667097749	0	0	0	0	0.0292867224602159	0.0989465849724082	0.0795551751934235	0.0573446200926087	0;1;0;0;0;0;1;3;2;2	0	0	1.81252854770137	rnoCirc_009278	hsaCirc_015109
chr1	16389821	16394210	-	mmuCirc_000047	Stau2	CTO:ANNOTATED:CDS	3	481	NM_001111272:NM_025303	0.0179914506425692	0.0170667097749	0	0.0384588263746862	0.018226776348359	0.131004445472102	0.0878601673806477	0.164910974954014	0.278443113176982	0.0573446200926087	1;1;0;2;1;4;3;5;7;2	0	0	2.02185001458068		
chr1	16389821	16463194	-	mmuCirc_000048	Stau2	CTO:ANNOTATED:CDS	5	777	NM_001111272:NM_025303	0	0	0	0.0192294131873431	0	0.0655022227360508	0	0.131928779963211	0.0397775875967117	0.0573446200926087	0;0;0;1;0;2;0;4;1;2	0	0	1.89506376809717		
chr1	16389821	16486150	-	mmuCirc_000049	Stau2	CTO:ANNOTATED:CDS:5UTR	6	908	NM_001111272:NM_025303	0	0	0.0185119210755352	0	0	0.0982533341040761	0	0	0.198887937983559	0.0573446200926087	0;0;1;0;0;3;0;0;5;2	0	0	1.7554813400516		
chr1	16440323	16463194	-	mmuCirc_000050	Stau2	CTO:ANNOTATED:CDS	2	296	NM_001111272:NM_025303	0	0	0.0185119210755352	0	0.0364535526967181	0.0982533341040761	0.0292867224602159	0.0659643899816055	0.23866552558027	0.0573446200926087	0;0;1;0;2;3;1;2;6;2	0	0	1.83413890449215		hsaCirc_015121
chr1	16440323	16486150	-	mmuCirc_000051	Stau2	CTO:ANNOTATED:CDS:5UTR	3	427	NM_001111272:NM_025303	0.0179914506425692	0.0512001293247	0.0740476843021408	0	0.0364535526967181	0.458515559152355	0.205007057221511	0.560697314843647	0.715996576740811	0.372740030601957	1;3;4;0;2;14;7;17;18;13	0	0	3.18824503541863		hsaCirc_015122
chr1	16440323	16509408	-	mmuCirc_000052	Stau2	CTO:ANNOTATED:CDS:5UTR	4	494	NM_001111272:NM_025303	0.0899572532128458	0.0682668390996	0.0370238421510704	0.153835305498745	0.0729071053934362	1.34279556608904	0.351440669522591	1.64910974954014	2.06843455502901	0.831496991342826	5;4;2;8;4;41;12;50;52;29	0	1	3.47177641792177	rnoCirc_009271	
chr1	16463035	16509408	-	mmuCirc_000053	Stau2	CTO:ANNOTATED:CDS:5UTR	3	358	NM_001111272:NM_025303	0.0719658025702766	0	0	0.115376479124059	0.0364535526967181	0.229257779576178	0.175720334761295	0.197893169944816	0.278443113176982	0.114689240185217	4;0;0;6;2;7;6;6;7;4	0	0	2.11394342772751		hsaCirc_015124
chr1	16486020	16509408	-	mmuCirc_000054	Stau2	CTO:ANNOTATED:CDS:5UTR	2	198	NM_001111272:NM_025303	0	0	0	0	0	0	0	0.131928779963211	0	0.0286723100463043	0;0;0;0;0;0;0;4;0;1	0	0	2.10421226475737		
chr1	16581927	16585431	-	mmuCirc_000055	Ube2w	CTO:ANNOTATED:CDS	2	232	NM_001271016:NM_001271017:NM_025773:NR_073122	0	0.0170667097749	0.0185119210755352	0.0576882395620293	0.0546803290450771	0	0.117146889840864	0.164910974954014	0.278443113176982	0	0;1;1;3;3;0;4;5;7;0	0	1	1.04798483837881		
chr1	16581927	166023
